"Sgt. Pepper's Lonely Hearts Club Band","The Beatles","1967","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Pop Vocal; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for British Album of the Year; /mu/ Essentials","https://www.discogs.com/master/23934","82730","Pop; Rock","Pop Rock; Psychedelic Rock; Rock & Roll"
"Longing In Their Hearts","Bonnie Raitt","1994","Grammy for Best Pop Vocal","https://www.discogs.com/master/150987","271392","Rock","Blues Rock; Folk Rock"
"Turbulent Indigo","Joni Mitchell","1994","Grammy for Best Pop Vocal","https://www.discogs.com/master/402936","90233","Rock","Folk Rock"
"Falling Into You","Céline Dion","1996","Grammy for Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/134816","19298","Pop","Ballad"
"Hourglass","James Taylor","1997","Grammy for Best Pop Vocal","https://www.discogs.com/master/179320","262944","Rock","Acoustic; Soft Rock"
"Ray Of Light","Madonna","1998","1001 Albums You Must Hear Before You Die; Grammy for Best Pop Vocal; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/67803","8760","Electronic; Pop","Ambient; Dance-pop; Downtempo; House; Techno"
"Brand New Day","Sting","1999","Grammy for Best Pop Vocal","https://www.discogs.com/master/33598","13961","Pop; Rock","Pop Rock"
"Lovers Rock","Sade","2000","Grammy for Best Pop Vocal","https://www.discogs.com/master/110957","19731","Electronic; Funk / Soul; Reggae; Rock","Downtempo; Lovers Rock; Soft Rock; Soul"
"Two Against Nature","Steely Dan","2000","Grammy for Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/17120","160906","Jazz; Pop; Rock","Fusion; Pop Rock"
"Come Away With Me","Norah Jones","2002","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/102288","147031","Jazz","Contemporary Jazz"
"Justified","Justin Timberlake","2002","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; Grammy for Best Pop Vocal; Brit Award for International Album of the Year","https://www.discogs.com/master/90819","66824","Funk / Soul","Contemporary R&B"
"Breakaway","Kelly Clarkson","2004","Grammy for Best Pop Vocal","https://www.discogs.com/master/133077","201543","Pop; Rock","Alternative Rock; Ballad; Pop Rock; Soft Rock"
"Genius Loves Company","Ray Charles","2004","Grammy for Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/106274","30552","Blues; Jazz","Easy Listening; Piano Blues; Swing"
"Back To Black","Amy Winehouse","2006","1001 Albums You Must Hear Before You Die; Grammy for Best Pop Vocal; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/51256","151223","Funk / Soul","Rhythm & Blues; Soul"
"Continuum","John Mayer","2006","Grammy for Best Pop Vocal","https://www.discogs.com/master/170454","254479","Blues; Rock","Alternative Rock; Blues Rock; Indie Rock; Pop Rock"
"Rockferry","Duffy","2008","Grammy for Best Pop Vocal; Brit Award for British Album of the Year","https://www.discogs.com/master/71659","79081","Funk / Soul; Pop","Neo Soul; Soul; Vocal"
"The E.N.D","Black Eyed Peas","2009","Grammy for Best Pop Vocal","https://www.discogs.com/master/134821","79759","Electronic; Funk / Soul; Hip Hop; Pop","Conscious; Contemporary R&B; Electro; Pop Rap"
"The Fame Monster","Lady Gaga","2009","Grammy for Best Pop Vocal","https://www.discogs.com/master/201057","1103159","Electronic; Pop","Dance-pop; Electro"
"21","Adele","2011","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; Grammy for Album of the Year; Grammy for Best Pop Vocal; Brit Award for British Album of the Year","https://www.discogs.com/master/303567","819015","Blues; Funk / Soul; Jazz; Pop","Acoustic; Neo Soul; Piano Blues"
"Stronger","Kelly Clarkson","2011","Grammy for Best Pop Vocal","https://www.discogs.com/master/387746","201543","Electronic; Funk / Soul; Pop; Rock","Country Rock; Electro; Pop Rock; Power Pop; Rhythm & Blues; Synth-pop"
"Unorthodox Jukebox","Bruno Mars","2012","Grammy for Best Pop Vocal","https://www.discogs.com/master/505655","1357693","Electronic; Funk / Soul; Pop; Reggae; Rock","Contemporary R&B; Electro; Pop Rock; Reggae-Pop"
"1989","Taylor Swift","2014","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; Grammy for Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/750386","1124645","Pop","Ballad; Dance-pop; Synth-pop"
"In The Lonely Hour","Sam Smith","2014","Grammy for Best Pop Vocal","https://www.discogs.com/master/691657","1376377","Pop","Ballad; Europop; Synth-pop"
"25","Adele","2015","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Grammy for Best Pop Vocal; Brit Award for British Album of the Year","https://www.discogs.com/master/912912","819015","Blues; Funk / Soul; Pop","Ballad; Neo Soul; Piano Blues"
"÷ (Divide)","Ed Sheeran","2017","Grammy for Best Pop Vocal","https://www.discogs.com/master/1142167","2184482","Folk, World, & Country; Funk / Soul; Pop; Rock","Acoustic; Ballad; Indie Pop; Pop Rock; Soul"
"Sweetener","Ariana Grande","2018","Grammy for Best Pop Vocal","https://www.discogs.com/master/1408887","3310737","Pop","Contemporary R&B"
"When We All Fall Asleep, Where Do We Go?","Billie Eilish","2019","Grammy for Album of the Year; Grammy for Best Pop Vocal; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/1524311","5590213","Electronic; Pop","Indie Pop; Trap"
"Future Nostalgia","Dua Lipa","2020","Brit Award for British Album of the Year; Grammy for Best Pop Vocal","https://www.discogs.com/master/1705638","4357593","Electronic; Funk / Soul; Pop; Rock","Dance-pop; Disco; Funk; Power Pop; Synth-pop"
"Sour","Olivia Rodrigo","2021","Grammy for Best Pop Vocal","https://www.discogs.com/master/2136718","7592689","Pop; Rock","Acoustic; Ballad; Pop Punk; Pop Rock; Power Pop"
